name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"mu[385]",4.9,0.014,0.91,3.4,4.9,6.4,4153,1926,1.00
"mu[386]",5.8,0.015,0.94,4.2,5.8,7.4,4136,1918,1.00
"mu[387]",15,0.024,1.5,13,15,18,3905,1811,1.00
"mu[388]",7.2,0.015,0.99,5.6,7.2,8.8,4104,1904,1.00
"mu[389]",-7.6,0.021,1.3,-9.7,-7.6,-5.4,4034,1871,1.00
"mu[390]",-2.1,0.016,1.0,-3.7,-2.1,-0.46,4161,1930,1.0
"mu[391]",-17,0.034,2.1,-21,-17,-14,3902,1810,1.00
"mu[392]",-12,0.026,1.7,-15,-12,-9.2,3962,1838,1.00
"mu[393]",-0.34,0.014,0.94,-1.9,-0.34,1.2,4185,1941,1.0
"mu[394]",6.8,0.015,0.97,5.2,6.8,8.4,4109,1906,1.00
"mu[395]",14,0.022,1.4,11,14,16,3933,1824,1.00
"mu[396]",0.56,0.014,0.91,-0.93,0.57,2.1,4190,1944,1.0
"mu[397]",13,0.021,1.3,11,13,15,3938,1826,1.00
"mu[398]",3.8,0.014,0.90,2.3,3.8,5.3,4172,1935,1.0
"mu[399]",1.1,0.014,0.90,-0.33,1.1,2.6,4192,1944,1.0
"mu[400]",-0.62,0.015,0.94,-2.2,-0.62,0.93,4183,1940,1.0
"mu[401]",6.7,0.015,0.97,5.1,6.7,8.3,4113,1908,1.00
"mu[402]",1.0,0.014,0.90,-0.46,1.0,2.5,4191,1944,1.0
"mu[403]",11,0.019,1.2,9.1,11,13,3985,1848,1.00
"mu[404]",8.7,0.017,1.1,7.0,8.7,10,4052,1879,1.00
"mu[405]",1.4,0.014,0.90,-0.022,1.4,2.9,4191,1944,1.0
"mu[406]",11,0.019,1.2,9.3,11,13,3978,1845,1.00
"mu[407]",0.90,0.014,0.91,-0.58,0.90,2.4,4191,1944,1.0
"mu[408]",2.9,0.014,0.89,1.4,2.9,4.3,4183,1940,1.0
"mu[409]",14,0.022,1.4,12,14,16,3922,1819,1.00
"mu[410]",6.4,0.015,0.96,4.8,6.4,8.0,4120,1911,1.00
"mu[411]",6.6,0.015,0.96,5.0,6.6,8.2,4115,1909,1.00
"mu[412]",14,0.022,1.4,11,14,16,3932,1824,1.00
"mu[413]",21,0.032,2.0,18,21,24,3852,1787,1.00
"mu[414]",8.9,0.017,1.1,7.1,8.9,11,4047,1877,1.00
"mu[415]",0.93,0.014,0.91,-0.54,0.93,2.4,4191,1944,1.0
"mu[416]",13,0.021,1.3,10,13,15,3950,1832,1.00
